2021-01-05 17:01:03.702 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:03.702 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:03.722 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:03.722 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:03.723 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:03.763 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:03.763 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:03.763 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:03.844 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:03.844 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:03.844 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:04.005 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:04.005 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:04.005 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:04.326 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:04.326 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:04.326 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:04.967 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:04.968 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:04.968 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:06.249 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:06.250 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:06.250 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:08.813 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:08.813 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:08.813 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:13.934 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:13.934 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:13.935 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:24.185 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:24.185 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:24.186 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:44.687 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:44.687 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:44.687 parsl:217 Rank:0 [DEBUG]  Return from heartbeat: None
2021-01-05 17:01:44.687 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:44.689 parsl:272 Rank:0 [DEBUG]  Got heartbeat from interchange
2021-01-05 17:01:44.689 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:44.689 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:44.690 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:44.690 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:44.690 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:44.710 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:44.711 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:44.711 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
2021-01-05 17:01:44.751 parsl:285 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2021-01-05 17:01:44.751 parsl:246 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:28, pending tasks:0
2021-01-05 17:01:44.752 parsl:254 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 28
